instance_nr,opt,nbh,time,seed,makespan
J3024_1,53,swap,500,3,53
J3024_1,53,swap,500,4,53
J3024_1,53,swap,500,5,53
J3024_1,53,swap,1000,1,53
J3024_1,53,swap,1000,2,53
J3024_1,53,swap,1000,3,53
J3024_1,53,swap,1000,4,53
J3024_1,53,swap,1000,5,53
J3024_1,53,swap,5000,1,53
J3024_1,53,swap,5000,2,53
J3024_1,53,swap,5000,3,53
J3024_1,53,swap,5000,4,53
J3024_1,53,swap,5000,5,53
J3024_1,53,api,100,1,53
J3024_1,53,api,100,2,53
J3024_1,53,api,100,3,53
J3024_1,53,api,100,4,53
J3024_1,53,api,100,5,53
J3024_1,53,api,500,1,53
J3024_1,53,api,500,2,53
J3024_1,53,api,500,3,53
J3024_1,53,api,500,4,53
J3024_1,53,api,500,5,53
J3024_1,53,api,1000,1,53
J3024_1,53,api,1000,2,53
J3024_1,53,api,1000,3,53
J3024_1,53,api,1000,4,53
J3024_1,53,api,1000,5,53
J3024_1,53,api,5000,1,53
J3024_1,53,api,5000,2,53
J3024_1,53,api,5000,3,53
J3024_1,53,api,5000,4,53
J3024_1,53,api,5000,5,53
J3025_1,93,swap,100,1,95
J3025_1,93,swap,100,2,97
J3025_1,93,swap,100,3,96
J3025_1,93,swap,100,4,95
J3025_1,93,swap,100,5,97
J3025_1,93,swap,500,1,93
J3025_1,93,swap,500,2,95
J3025_1,93,swap,500,3,93
J3025_1,93,swap,500,4,95
J3025_1,93,swap,500,5,94
J3025_1,93,swap,1000,1,94
J3025_1,93,swap,1000,2,94
J3025_1,93,swap,1000,3,93
J3025_1,93,swap,1000,4,93
J3025_1,93,swap,1000,5,93
J3025_1,93,swap,5000,1,93
J3025_1,93,swap,5000,2,93
J3025_1,93,swap,5000,3,93
J3025_1,93,swap,5000,4,93
J3025_1,93,swap,5000,5,93
J3025_1,93,api,100,1,98
J3025_1,93,api,100,2,98
J3025_1,93,api,100,3,96
J3025_1,93,api,100,4,96
J3025_1,93,api,100,5,96
J3025_1,93,api,500,1,95
J3025_1,93,api,500,2,97
J3025_1,93,api,500,3,94
J3025_1,93,api,500,4,95
J3025_1,93,api,500,5,95
J3025_1,93,api,1000,1,96
J3025_1,93,api,1000,2,95
J3025_1,93,api,1000,3,93
J3025_1,93,api,1000,4,95
J3025_1,93,api,1000,5,96
J3025_1,93,api,5000,1,93
J3025_1,93,api,5000,2,93
J3025_1,93,api,5000,3,94
J3025_1,93,api,5000,4,93
J3025_1,93,api,5000,5,93
J3026_1,59,swap,100,1,59
J3026_1,59,swap,100,2,59
J3026_1,59,swap,100,3,59
J3026_1,59,swap,100,4,59
J3026_1,59,swap,100,5,59
J3026_1,59,swap,500,1,59
J3026_1,59,swap,500,2,59
J3026_1,59,swap,500,3,59
J3026_1,59,swap,500,4,59
J3026_1,59,swap,500,5,59
J3026_1,59,swap,1000,1,59
J3026_1,59,swap,1000,2,59
J3026_1,59,swap,1000,3,59
J3026_1,59,swap,1000,4,59
J3026_1,59,swap,1000,5,59
J3026_1,59,swap,5000,1,59
J3026_1,59,swap,5000,2,59
J3026_1,59,swap,5000,3,59
J3026_1,59,swap,5000,4,59
J3026_1,59,swap,5000,5,59
J3026_1,59,api,100,1,59
J3026_1,59,api,100,2,59
J3026_1,59,api,100,3,60
J3026_1,59,api,100,4,61
J3026_1,59,api,100,5,62
J3026_1,59,api,500,1,59
J3026_1,59,api,500,2,60
J3026_1,59,api,500,3,59
J3026_1,59,api,500,4,60
J3026_1,59,api,500,5,60
J3026_1,59,api,1000,1,59
J3026_1,59,api,1000,2,59
J3026_1,59,api,1000,3,59
J3026_1,59,api,1000,4,59
J3026_1,59,api,1000,5,59
J3026_1,59,api,5000,1,59
J3026_1,59,api,5000,2,59
J3026_1,59,api,5000,3,59
J3026_1,59,api,5000,4,59
J3026_1,59,api,5000,5,59
J3027_1,43,swap,100,1,43
J3027_1,43,swap,100,2,43
J3027_1,43,swap,100,3,43
J3027_1,43,swap,100,4,43
J3027_1,43,swap,100,5,43
J3027_1,43,swap,500,1,43
J3027_1,43,swap,500,2,43
J3027_1,43,swap,500,3,43
J3027_1,43,swap,500,4,43
J3027_1,43,swap,500,5,43
J3027_1,43,swap,1000,1,43
J3027_1,43,swap,1000,2,43
J3027_1,43,swap,1000,3,43
J3027_1,43,swap,1000,4,43
J3027_1,43,swap,1000,5,43
J3027_1,43,swap,5000,1,43
J3027_1,43,swap,5000,2,43
J3027_1,43,swap,5000,3,43
J3027_1,43,swap,5000,4,43
J3027_1,43,swap,5000,5,43
J3027_1,43,api,100,1,43
J3027_1,43,api,100,2,43
J3027_1,43,api,100,3,43
J3027_1,43,api,100,4,43
J3027_1,43,api,100,5,43
J3027_1,43,api,500,1,43
J3027_1,43,api,500,2,43
J3027_1,43,api,500,3,43
J3027_1,43,api,500,4,43
J3027_1,43,api,500,5,43
J3027_1,43,api,1000,1,43
J3027_1,43,api,1000,2,43
J3027_1,43,api,1000,3,43
J3027_1,43,api,1000,4,43
J3027_1,43,api,1000,5,43
J3027_1,43,api,5000,1,43
J3027_1,43,api,5000,2,43
J3027_1,43,api,5000,3,43
J3027_1,43,api,5000,4,43
J3027_1,43,api,5000,5,43
J3028_1,69,swap,100,1,69
J3028_1,69,swap,100,2,69
J3028_1,69,swap,100,3,69
J3028_1,69,swap,100,4,69
J3028_1,69,swap,100,5,69
J3028_1,69,swap,500,1,69
J3028_1,69,swap,500,2,69
J3028_1,69,swap,500,3,69
J3028_1,69,swap,500,4,69
J3028_1,69,swap,500,5,69
J3028_1,69,swap,1000,1,69
J3028_1,69,swap,1000,2,69
J3028_1,69,swap,1000,3,69
J3028_1,69,swap,1000,4,69
J3028_1,69,swap,1000,5,69
J3028_1,69,swap,5000,1,69
J3028_1,69,swap,5000,2,69
J3028_1,69,swap,5000,3,69
J3028_1,69,swap,5000,4,69
J3028_1,69,swap,5000,5,69
J3028_1,69,api,100,1,69
J3028_1,69,api,100,2,69
J3028_1,69,api,100,3,69
J3028_1,69,api,100,4,69
J3028_1,69,api,100,5,69
J3028_1,69,api,500,1,69
J3028_1,69,api,500,2,69
J3028_1,69,api,500,3,69
J3028_1,69,api,500,4,69
J3028_1,69,api,500,5,69
J3028_1,69,api,1000,1,69
J3028_1,69,api,1000,2,69
J3028_1,69,api,1000,3,69
J3028_1,69,api,1000,4,69
J3028_1,69,api,1000,5,69
J3028_1,69,api,5000,1,69
J3028_1,69,api,5000,2,69
J3028_1,69,api,5000,3,69
J3028_1,69,api,5000,4,69
J3028_1,69,api,5000,5,69
J3029_1,85,swap,100,1,87
J3029_1,85,swap,100,2,89
J3029_1,85,swap,100,3,88
J3029_1,85,swap,100,4,88
J3029_1,85,swap,100,5,87
J3029_1,85,swap,500,1,87
J3029_1,85,swap,500,2,87
J3029_1,85,swap,500,3,89
J3029_1,85,swap,500,4,86
J3029_1,85,swap,500,5,88
J3029_1,85,swap,1000,1,86
J3029_1,85,swap,1000,2,86
J3029_1,85,swap,1000,3,87
J3029_1,85,swap,1000,4,86
J3029_1,85,swap,1000,5,86
J3029_1,85,swap,5000,1,87
J3029_1,85,swap,5000,2,86
J3029_1,85,swap,5000,3,87
J3029_1,85,swap,5000,4,86
J3029_1,85,swap,5000,5,86
