instance_nr,opt,nbh,time,seed,makespan
X20_1,89,api,500,2,103
X20_1,89,api,500,3,103
X20_1,89,api,500,4,103
X20_1,89,api,500,5,103
X20_1,89,api,1000,1,101
X20_1,89,api,1000,2,103
X20_1,89,api,1000,3,100
X20_1,89,api,1000,4,101
X20_1,89,api,1000,5,101
X20_1,89,api,5000,1,97
X20_1,89,api,5000,2,99
X20_1,89,api,5000,3,100
X20_1,89,api,5000,4,97
X20_1,89,api,5000,5,102
X21_1,114,swap,100,1,134
X21_1,114,swap,100,2,140
X21_1,114,swap,100,3,134
X21_1,114,swap,100,4,137
X21_1,114,swap,100,5,135
X21_1,114,swap,500,1,126
X21_1,114,swap,500,2,126
X21_1,114,swap,500,3,130
X21_1,114,swap,500,4,127
X21_1,114,swap,500,5,130
X21_1,114,swap,1000,1,130
X21_1,114,swap,1000,2,131
X21_1,114,swap,1000,3,127
X21_1,114,swap,1000,4,128
X21_1,114,swap,1000,5,130
X21_1,114,swap,5000,1,119
X21_1,114,swap,5000,2,121
X21_1,114,swap,5000,3,125
X21_1,114,swap,5000,4,122
X21_1,114,swap,5000,5,123
X21_1,114,api,100,1,141
X21_1,114,api,100,2,137
X21_1,114,api,100,3,141
X21_1,114,api,100,4,144
X21_1,114,api,100,5,139
X21_1,114,api,500,1,137
X21_1,114,api,500,2,137
X21_1,114,api,500,3,135
X21_1,114,api,500,4,137
X21_1,114,api,500,5,133
X21_1,114,api,1000,1,130
X21_1,114,api,1000,2,132
X21_1,114,api,1000,3,135
X21_1,114,api,1000,4,137
X21_1,114,api,1000,5,136
X21_1,114,api,5000,1,130
X21_1,114,api,5000,2,131
X21_1,114,api,5000,3,132
X21_1,114,api,5000,4,128
X21_1,114,api,5000,5,132
X22_1,101,swap,100,1,118
X22_1,101,swap,100,2,121
X22_1,101,swap,100,3,117
X22_1,101,swap,100,4,119
X22_1,101,swap,100,5,117
X22_1,101,swap,500,1,107
X22_1,101,swap,500,2,110
X22_1,101,swap,500,3,110
X22_1,101,swap,500,4,110
X22_1,101,swap,500,5,117
X22_1,101,swap,1000,1,109
X22_1,101,swap,1000,2,108
X22_1,101,swap,1000,3,107
X22_1,101,swap,1000,4,112
X22_1,101,swap,1000,5,108
X22_1,101,swap,5000,1,105
X22_1,101,swap,5000,2,108
X22_1,101,swap,5000,3,104
X22_1,101,swap,5000,4,102
X22_1,101,swap,5000,5,106
X22_1,101,api,100,1,126
X22_1,101,api,100,2,124
X22_1,101,api,100,3,126
X22_1,101,api,100,4,124
X22_1,101,api,100,5,126
X22_1,101,api,500,1,118
X22_1,101,api,500,2,122
X22_1,101,api,500,3,122
X22_1,101,api,500,4,120
X22_1,101,api,500,5,121
X22_1,101,api,1000,1,118
X22_1,101,api,1000,2,116
X22_1,101,api,1000,3,122
X22_1,101,api,1000,4,117
X22_1,101,api,1000,5,120
X22_1,101,api,5000,1,111
X22_1,101,api,5000,2,117
X22_1,101,api,5000,3,118
X22_1,101,api,5000,4,117
X22_1,101,api,5000,5,117
X23_1,107,swap,100,1,108
X23_1,107,swap,100,2,108
X23_1,107,swap,100,3,108
X23_1,107,swap,100,4,107
X23_1,107,swap,100,5,108
X23_1,107,swap,500,1,107
X23_1,107,swap,500,2,107
X23_1,107,swap,500,3,107
X23_1,107,swap,500,4,107
X23_1,107,swap,500,5,108
X23_1,107,swap,1000,1,107
