instance_nr,time,seed,makespan
J6039_1,1000,3,80
J6039_1,1000,4,80
J6039_1,1000,5,80
J6039_1,5000,1,80
J6039_1,5000,2,80
J6039_1,5000,3,80
J6039_1,5000,4,80
J6039_1,5000,5,80
J603_1,100,1,60
J603_1,100,2,60
J603_1,100,3,60
J603_1,100,4,60
J603_1,100,5,60
J603_1,500,1,60
J603_1,500,2,60
J603_1,500,3,60
J603_1,500,4,60
J603_1,500,5,60
J603_1,1000,1,60
J603_1,1000,2,60
J603_1,1000,3,60
J603_1,1000,4,60
J603_1,1000,5,60
J603_1,5000,1,60
J603_1,5000,2,60
J603_1,5000,3,60
J603_1,5000,4,60
J603_1,5000,5,60
J6040_1,100,1,86
J6040_1,100,2,86
J6040_1,100,3,86
J6040_1,100,4,86
J6040_1,100,5,86
J6040_1,500,1,86
J6040_1,500,2,86
J6040_1,500,3,86
J6040_1,500,4,86
J6040_1,500,5,86
J6040_1,1000,1,86
J6040_1,1000,2,86
J6040_1,1000,3,86
J6040_1,1000,4,86
J6040_1,1000,5,86
J6040_1,5000,1,86
J6040_1,5000,2,86
J6040_1,5000,3,86
J6040_1,5000,4,86
J6040_1,5000,5,86
J6041_1,100,1,135
J6041_1,100,2,137
J6041_1,100,3,133
J6041_1,100,4,133
J6041_1,100,5,137
J6041_1,500,1,130
J6041_1,500,2,127
J6041_1,500,3,128
J6041_1,500,4,130
J6041_1,500,5,124
J6041_1,1000,1,133
J6041_1,1000,2,130
J6041_1,1000,3,131
J6041_1,1000,4,126
J6041_1,1000,5,125
J6041_1,5000,1,124
J6041_1,5000,2,130
J6041_1,5000,3,122
J6041_1,5000,4,124
J6041_1,5000,5,126
J6042_1,100,1,84
J6042_1,100,2,83
J6042_1,100,3,85
J6042_1,100,4,85
J6042_1,100,5,84
J6042_1,500,1,83
J6042_1,500,2,83
J6042_1,500,3,83
J6042_1,500,4,83
J6042_1,500,5,84
J6042_1,1000,1,83
J6042_1,1000,2,83
J6042_1,1000,3,83
J6042_1,1000,4,83
J6042_1,1000,5,83
J6042_1,5000,1,83
J6042_1,5000,2,83
J6042_1,5000,3,83
J6042_1,5000,4,83
J6042_1,5000,5,83
J6043_1,100,1,108
J6043_1,100,2,108
J6043_1,100,3,108
J6043_1,100,4,108
J6043_1,100,5,108
J6043_1,500,1,108
J6043_1,500,2,108
J6043_1,500,3,108
J6043_1,500,4,108
J6043_1,500,5,108
J6043_1,1000,1,108
J6043_1,1000,2,108
J6043_1,1000,3,108
J6043_1,1000,4,108
J6043_1,1000,5,108
J6043_1,5000,1,108
J6043_1,5000,2,108
J6043_1,5000,3,108
J6043_1,5000,4,108
J6043_1,5000,5,108
J6044_1,100,1,84
J6044_1,100,2,84
J6044_1,100,3,84
J6044_1,100,4,84
J6044_1,100,5,84
J6044_1,500,1,84
J6044_1,500,2,84
J6044_1,500,3,84
J6044_1,500,4,84
J6044_1,500,5,84
J6044_1,1000,1,84
J6044_1,1000,2,84
J6044_1,1000,3,84
J6044_1,1000,4,84
J6044_1,1000,5,84
J6044_1,5000,1,84
J6044_1,5000,2,84
J6044_1,5000,3,84
J6044_1,5000,4,84
J6044_1,5000,5,84
J6045_1,100,1,110
J6045_1,100,2,110
J6045_1,100,3,107
J6045_1,100,4,109
J6045_1,100,5,106
J6045_1,500,1,105
J6045_1,500,2,103
J6045_1,500,3,103
J6045_1,500,4,109
J6045_1,500,5,102
J6045_1,1000,1,102
J6045_1,1000,2,102
J6045_1,1000,3,104
J6045_1,1000,4,103
J6045_1,1000,5,101
J6045_1,5000,1,101
J6045_1,5000,2,99
J6045_1,5000,3,100
J6045_1,5000,4,99
J6045_1,5000,5,99
J6046_1,100,1,83
J6046_1,100,2,86
J6046_1,100,3,83
J6046_1,100,4,85
J6046_1,100,5,89
J6046_1,500,1,82
J6046_1,500,2,83
J6046_1,500,3,81
J6046_1,500,4,83
J6046_1,500,5,81
J6046_1,1000,1,82
J6046_1,1000,2,81
J6046_1,1000,3,80
J6046_1,1000,4,80
J6046_1,1000,5,80
J6046_1,5000,1,80
J6046_1,5000,2,80
J6046_1,5000,3,80
J6046_1,5000,4,80
J6046_1,5000,5,81
J6047_1,100,1,75
J6047_1,100,2,75
J6047_1,100,3,75
J6047_1,100,4,75
J6047_1,100,5,75
J6047_1,500,1,75
J6047_1,500,2,75
J6047_1,500,3,75
J6047_1,500,4,75
J6047_1,500,5,75
J6047_1,1000,1,75
J6047_1,1000,2,75
J6047_1,1000,3,75
J6047_1,1000,4,75
J6047_1,1000,5,75
J6047_1,5000,1,75
J6047_1,5000,2,75
J6047_1,5000,3,75
J6047_1,5000,4,75
J6047_1,5000,5,75
J6048_1,100,1,71
J6048_1,100,2,71
J6048_1,100,3,71
J6048_1,100,4,71
J6048_1,100,5,71
J6048_1,500,1,71
J6048_1,500,2,71
J6048_1,500,3,71
J6048_1,500,4,71
J6048_1,500,5,71
J6048_1,1000,1,71
J6048_1,1000,2,71
J6048_1,1000,3,71
J6048_1,1000,4,71
J6048_1,1000,5,71
J6048_1,5000,1,71
J6048_1,5000,2,71
J6048_1,5000,3,71
J6048_1,5000,4,71
J6048_1,5000,5,71
J604_1,100,1,84
J604_1,100,2,84
J604_1,100,3,84
J604_1,100,4,84
J604_1,100,5,84
J604_1,500,1,84
J604_1,500,2,84
J604_1,500,3,84
J604_1,500,4,84
J604_1,500,5,84
J604_1,1000,1,84
J604_1,1000,2,84
J604_1,1000,3,84
J604_1,1000,4,84
J604_1,1000,5,84
J604_1,5000,1,84
J604_1,5000,2,84
J604_1,5000,3,84
J604_1,5000,4,84
J604_1,5000,5,84
J605_1,100,1,89
J605_1,100,2,85
J605_1,100,3,88
J605_1,100,4,86
J605_1,100,5,86
J605_1,500,1,79
J605_1,500,2,77
J605_1,500,3,82
J605_1,500,4,79
J605_1,500,5,78
J605_1,1000,1,78
J605_1,1000,2,78
J605_1,1000,3,79
J605_1,1000,4,80
J605_1,1000,5,78
J605_1,5000,1,78
J605_1,5000,2,78
J605_1,5000,3,77
J605_1,5000,4,77
J605_1,5000,5,77
J606_1,100,1,64
J606_1,100,2,62
J606_1,100,3,62
J606_1,100,4,61
J606_1,100,5,61
J606_1,500,1,61
J606_1,500,2,60
J606_1,500,3,61
J606_1,500,4,60
J606_1,500,5,60
J606_1,1000,1,60
J606_1,1000,2,60
J606_1,1000,3,60
J606_1,1000,4,60
J606_1,1000,5,60
J606_1,5000,1,60
J606_1,5000,2,60
J606_1,5000,3,60
J606_1,5000,4,60
J606_1,5000,5,60
J607_1,100,1,77
J607_1,100,2,77
J607_1,100,3,77
J607_1,100,4,77
J607_1,100,5,77
J607_1,500,1,77
J607_1,500,2,77
J607_1,500,3,77
J607_1,500,4,77
J607_1,500,5,77
J607_1,1000,1,77
J607_1,1000,2,77
J607_1,1000,3,77
J607_1,1000,4,77
J607_1,1000,5,77
J607_1,5000,1,77
J607_1,5000,2,77
J607_1,5000,3,77
J607_1,5000,4,77
J607_1,5000,5,77
J608_1,100,1,64
J608_1,100,2,64
J608_1,100,3,64
J608_1,100,4,64
J608_1,100,5,64
J608_1,500,1,64
J608_1,500,2,64
J608_1,500,3,64
J608_1,500,4,64
J608_1,500,5,64
J608_1,1000,1,64
J608_1,1000,2,64
J608_1,1000,3,64
J608_1,1000,4,64
J608_1,1000,5,64
J608_1,5000,1,64
J608_1,5000,2,64
J608_1,5000,3,64
J608_1,5000,4,64
J608_1,5000,5,64
J609_1,100,1,96
J609_1,100,2,97
J609_1,100,3,97
J609_1,100,4,93
J609_1,100,5,95
J609_1,500,1,95
J609_1,500,2,95
J609_1,500,3,92
J609_1,500,4,95
J609_1,500,5,92
J609_1,1000,1,92
J609_1,1000,2,92
J609_1,1000,3,92
J609_1,1000,4,92
J609_1,1000,5,92
J609_1,5000,1,90
J609_1,5000,2,90
J609_1,5000,3,90
J609_1,5000,4,89
J609_1,5000,5,90
